id;name;staticDataUrl;dynamicDataUrl;limitedAccess;uuid;latitude;longitude;city;country_code;province;region;mark;usage;accessPoints;capacity;contactPersons;minimumHeightInMeters;openingTimes;tariffs;Operator
3766;P+R Station Varsseveld, Varsseveld (Oude IJsselstreek);https://npropendata.rdw.nl//parkingdata/v2/static/89a2fe54-6f50-4486-8413-89f4649d3120;;0;89a2fe54-6f50-4486-8413-89f4649d3120;51.9382364;6.457125;Oude IJsselstreek;nl;Gelderland;Oost-Nederland;good;park and ride;1;142;0;0;1;1;Nederlandse Spoorwegen
3811;P+R Spijkenisse Centrum (Spijkenisse);https://npropendata.rdw.nl//parkingdata/v2/static/14a08d05-def7-4a19-955d-f46029554881;;0;14a08d05-def7-4a19-955d-f46029554881;51.8458691;4.332583;Nissewaard;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;269;1;0;1;1;Nissewaard
3814;P+R station Driebergen-Zeist;https://npropendata.rdw.nl//parkingdata/v2/static/54612960-b8a6-4499-9f47-f7ae7c4fd2c8;;0;54612960-b8a6-4499-9f47-f7ae7c4fd2c8;52.0648255;5.2573993;Utrechtse Heuvelrug;nl;Utrecht;Noordwest-Nederland;good;park and ride;1;582;0;1.9;1;1;Nederlandse Spoorwegen
3815;P+R Baanweg (Schin op Geul);https://npropendata.rdw.nl//parkingdata/v2/static/241e35bc-be67-4ee9-9da0-71017d6a4267;;0;241e35bc-be67-4ee9-9da0-71017d6a4267;50.855710351508;5.8741500656783;Schin op Geul;nl;Limburg;Zuid-Nederland;good;park and ride;1;48;1;0;1;1;Nederlandse Spoorwegen
3826;P+R Station Zoetermeer Voorweg;https://npropendata.rdw.nl//parkingdata/v2/static/b4860d41-b6c3-472f-b914-4ba7c5b5bff4;;0;b4860d41-b6c3-472f-b914-4ba7c5b5bff4;52.062888407795;4.4710151516326;Zoetermeer;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;30;0;0;1;1;Nederlandse Spoorwegen
3831;P+R Station Maastricht Noord;https://npropendata.rdw.nl//parkingdata/v2/static/c0aecf40-4df5-43b9-b8af-577fb8c681f8;;0;c0aecf40-4df5-43b9-b8af-577fb8c681f8;50.873044932915;5.718412539057;Maastricht;nl;Limburg;Zuid-Nederland;good;park and ride;1;540;1;2.5;1;1;Maastricht
3854;Carpool parkeren Heteren A50, Weerbroek Heteren (Overbetuwe);https://npropendata.rdw.nl//parkingdata/v2/static/bd4d638d-a04f-42a0-bc7c-adc29a15cf33;;0;bd4d638d-a04f-42a0-bc7c-adc29a15cf33;51.94348345;5.7566647074836;Overbetuwe;nl;Gelderland;Oost-Nederland;good;park and ride;1;36;1;0;1;1;Overbetuwe
3865;P+R Station Voorburg 't Loo Wilgendreef (Voorburg);https://npropendata.rdw.nl//parkingdata/v2/static/1298a245-7f5c-4a94-83ea-b18030e2764d;;0;1298a245-7f5c-4a94-83ea-b18030e2764d;52.0826331;4.3655600923108;Leidschendam-Voorburg;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;64;1;0;1;1;Leidschendam-Voorburg
3867;P+R Station Zevenbergen, stationslaan, Zevenbergen (Moerdijk);https://npropendata.rdw.nl//parkingdata/v2/static/a5d70b2e-1c27-4c6c-b803-8a2441e5e1f7;;0;a5d70b2e-1c27-4c6c-b803-8a2441e5e1f7;51.6409433;4.6092055;Moerdijk;nl;Noord-Brabant;Zuid-Nederland;good;park and ride;1;147;0;0;1;1;Nederlandse Spoorwegen
3873;P+R Roemer Visscherplein;https://npropendata.rdw.nl//parkingdata/v2/static/0599015c-5cb5-40a1-ba24-e9fb157b64d4;https://npropendata.rdw.nl//parkingdata/v2/dynamic/0599015c-5cb5-40a1-ba24-e9fb157b64d4;1;0599015c-5cb5-40a1-ba24-e9fb157b64d4;52.3596319;4.6055501;Heemstede;nl;Noord-Holland;Noordwest-Nederland;average;park and ride;1;147;0;2.1;1;0;Q-Park Nederland BV
3875;P+R Station Twello, Stationsplein, Twello (Voorst);https://npropendata.rdw.nl//parkingdata/v2/static/f96561b4-e8c6-4291-a14b-bd3fe879e5e0;;0;f96561b4-e8c6-4291-a14b-bd3fe879e5e0;52.238532;6.1020837;Voorst;nl;Gelderland;Oost-Nederland;good;park and ride;1;80;0;0;1;1;Nederlandse Spoorwegen
3877;P+R Station Vlaardingen West, Geuzenplein, Vlaardingen (Vlaardingen);https://npropendata.rdw.nl//parkingdata/v2/static/57cd1844-039f-4d28-87f9-5d73b826e9f0;;0;57cd1844-039f-4d28-87f9-5d73b826e9f0;51.904276531383;4.3155225623957;Vlaardingen;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;86;0;0;1;1;Nederlandse Spoorwegen
3883;P+R Salmstraat (Boxtel);https://npropendata.rdw.nl//parkingdata/v2/static/77dae242-8749-4351-8b2f-348df25f4305;https://npropendata.rdw.nl//parkingdata/v2/dynamic/77dae242-8749-4351-8b2f-348df25f4305;1;77dae242-8749-4351-8b2f-348df25f4305;51.58372205;5.3181014765895;Boxtel;nl;Noord-Brabant;Zuid-Nederland;good;park and ride;1;193;1;0;1;0;Q-Park Nederland BV
3886;P+R Station Swalmen (Swalmen);https://npropendata.rdw.nl//parkingdata/v2/static/ccbca601-cdf5-47db-9531-2af5832ce3ff;;0;ccbca601-cdf5-47db-9531-2af5832ce3ff;51.2355486;6.0334943;Roermond;nl;Limburg;Zuid-Nederland;good;park and ride;1;10;1;0;1;1;Roermond
3927;P+R Station Voorburg (Voorburg);https://npropendata.rdw.nl//parkingdata/v2/static/4f0408a2-90f2-4317-92d9-f51f0b8dd5e6;;0;4f0408a2-90f2-4317-92d9-f51f0b8dd5e6;52.0674189;4.3586054;Leidschendam-Voorburg;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;265;1;0;1;1;Leidschendam-Voorburg
3934;P+R Station Oosterbeek, Nico Bovenweg, Oosterbeek (Renkum);https://npropendata.rdw.nl//parkingdata/v2/static/4d1ec6c5-68b9-4f64-bbfa-5027b69aa9f6;;0;4d1ec6c5-68b9-4f64-bbfa-5027b69aa9f6;51.9932253;5.8401013;Renkum;nl;Gelderland;Oost-Nederland;good;park and ride;1;5;1;0;1;1;Nederlandse Spoorwegen
3936;P + R station Sassenheim;https://npropendata.rdw.nl//parkingdata/v2/static/9976905e-fe02-4211-8976-1b77e57c3b6f;https://npropendata.rdw.nl//parkingdata/v2/dynamic/9976905e-fe02-4211-8976-1b77e57c3b6f;0;9976905e-fe02-4211-8976-1b77e57c3b6f;52.216481002712;4.5177377964891;Teylingen;nl;Zuid-Holland;Zuidwest-Nederland;average;park and ride;1;520;0;0;1;0;Nederlandse Spoorwegen
3938;P+R In de Cramer (Heerlen);https://npropendata.rdw.nl//parkingdata/v2/static/75104ad9-e029-4709-9b68-6b150258fc15;;0;75104ad9-e029-4709-9b68-6b150258fc15;50.8960462;5.9531626;Heerlen;nl;Limburg;Zuid-Nederland;good;park and ride;1;15;1;0;1;1;Nederlandse Spoorwegen
3941;P+R Handelskade (Deventer);https://npropendata.rdw.nl//parkingdata/v2/static/a8be911f-6822-4a56-bba9-019540fd5a94;https://npropendata.rdw.nl//parkingdata/v2/dynamic/a8be911f-6822-4a56-bba9-019540fd5a94;1;a8be911f-6822-4a56-bba9-019540fd5a94;52.2551153;6.1677792232208;Deventer;nl;Overijssel;Oost-Nederland;good;park and ride;1;237;1;0;1;0;Q-Park Nederland BV
3942;P+R Laan van NOI (Den Haag);https://npropendata.rdw.nl//parkingdata/v2/static/94043c94-ce81-45cd-a84f-72c4d6891d0b;https://npropendata.rdw.nl//parkingdata/v2/dynamic/94043c94-ce81-45cd-a84f-72c4d6891d0b;1;94043c94-ce81-45cd-a84f-72c4d6891d0b;52.0785507;4.3439572;Leidschendam-Voorburg;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;152;1;0;1;0;Q-Park Nederland BV
