id;name;staticDataUrl;dynamicDataUrl;limitedAccess;uuid;latitude;longitude;city;country_code;province;region;mark;usage;accessPoints;capacity;contactPersons;minimumHeightInMeters;openingTimes;tariffs;Operator
907;Garage Stadhuis-Muziektheater (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/b40a4b06-cca5-46c4-ab2a-1f9a929611d3;;0;b40a4b06-cca5-46c4-ab2a-1f9a929611d3;52.3683961;4.9019159;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;400;1;1.8;1;1;Amsterdam
922;Garage Emmaplein, voorheen Belcour (Zeist);https://npropendata.rdw.nl//parkingdata/v2/static/92869eef-dad0-450e-8687-fca67877732e;;0;92869eef-dad0-450e-8687-fca67877732e;52.0859769;5.2418688;Zeist;nl;Utrecht;Noordwest-Nederland;good;garage;1;78;1;2;1;1;Zeist
931;Garage 1e Hogeweg (Zeist);https://npropendata.rdw.nl//parkingdata/v2/static/80698609-8adb-4bde-966d-c08d071c20e8;;0;80698609-8adb-4bde-966d-c08d071c20e8;52.0860398;5.2402525;Zeist;nl;Utrecht;Noordwest-Nederland;good;garage;1;413;1;2;1;1;Zeist
972;Kruisstraat;https://npropendata.rdw.nl//parkingdata/v2/static/ae58cd0a-2b44-4e28-8d91-73c93bc76ea5;;0;ae58cd0a-2b44-4e28-8d91-73c93bc76ea5;52.0939379;5.1294531;Utrecht;nl;Utrecht;Noordwest-Nederland;good;garage;1;105;1;2;1;1;Utrecht
996;P+R De Uithof;https://npropendata.rdw.nl//parkingdata/v2/static/2cbe619e-552d-4f4b-9d41-c44c25286148;;0;2cbe619e-552d-4f4b-9d41-c44c25286148;52.0916469;5.1785275549195;Utrecht;nl;Utrecht;Noordwest-Nederland;good;park and ride;1;500;1;1.9;1;1;Utrecht
1024;Garage P3 Mikado (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/b72e1d6e-a1d2-4ac1-87e7-2aedc9fcff79;;0;b72e1d6e-a1d2-4ac1-87e7-2aedc9fcff79;52.3103425;4.9412969;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;366;1;2.1;1;1;Amsterdam
1028;P+R RAI (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/0ab22af9-911d-4cfb-9ac5-6c327aa48be2;;0;0ab22af9-911d-4cfb-9ac5-6c327aa48be2;52.339706;4.8884566863564;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;678;1;1.9;1;1;Amsterdam
1029;P+R Olympisch Stadion (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/c783d164-e1ce-4782-9552-eac48b1b100d;;0;c783d164-e1ce-4782-9552-eac48b1b100d;52.3445977;4.8550786;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;250;1;2.1;1;1;Amsterdam
1054;Carpool IJsselstein A2 (IJsselstein);https://npropendata.rdw.nl//parkingdata/v2/static/bd6706fa-f5dd-4264-bb7d-0256826ee32f;;0;bd6706fa-f5dd-4264-bb7d-0256826ee32f;52.0162156;5.0652735;IJsselstein;nl;Utrecht;Noordwest-Nederland;good;carpool;1;69;1;2.5;1;1;IJsselstein
1155;Parkeergarage Castellum;https://npropendata.rdw.nl//parkingdata/v2/static/e0fc7f00-4ef1-4fd3-a2eb-187acf9072a1;;0;e0fc7f00-4ef1-4fd3-a2eb-187acf9072a1;52.1295505;4.6580577;Alphen aan den Rijn;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;742;1;2;1;1;Alphen aan den Rijn
1162;P+R Barendrecht NS (Barendrecht);https://npropendata.rdw.nl//parkingdata/v2/static/4dd5e7a5-69af-47af-a96c-e75b1103e4d5;;0;4dd5e7a5-69af-47af-a96c-e75b1103e4d5;51.855916748842;4.5523839002186;Barendrecht;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;380;1;2.8;1;1;Barendrecht
1167;P+R Spinnerij (Amstelveen);https://npropendata.rdw.nl//parkingdata/v2/static/ddf28f39-e189-45c1-b4d9-507f593b3d42;;0;ddf28f39-e189-45c1-b4d9-507f593b3d42;52.2838668;4.8378639;Amstelveen;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;125;1;1.9;1;1;Amstelveen
1176;Garage Phoenix (Delft);https://npropendata.rdw.nl//parkingdata/v2/static/c6fa5861-abde-41af-8f00-14c188566168;https://npropendata.rdw.nl//parkingdata/v2/dynamic/c6fa5861-abde-41af-8f00-14c188566168;0;c6fa5861-abde-41af-8f00-14c188566168;52.01099075;4.3547281278509;Delft;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;202;1;1.9;1;1;Delft
1185;Garage Houtplein (haarlem);https://npropendata.rdw.nl//parkingdata/v2/static/cc389282-40a0-4721-9b1a-37f68ca404d2;;0;cc389282-40a0-4721-9b1a-37f68ca404d2;52.37490635;4.6313532331939;Haarlem;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;862;1;1.95;1;1;Haarlem
1187;Garage P10 Plaza ArenA (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/5e24e192-5718-46da-945f-c59327a03294;;0;5e24e192-5718-46da-945f-c59327a03294;52.3066875;4.942096;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;814;1;2;1;1;Amsterdam
1189;Garage De Dreef (Haarlem);https://npropendata.rdw.nl//parkingdata/v2/static/4f337bf5-6284-47f6-a773-02d06603ff89;;0;4f337bf5-6284-47f6-a773-02d06603ff89;52.37210985;4.6304615730798;Haarlem;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;219;1;2;1;1;Haarlem
1192;Parkeergarage Kweeklust;https://npropendata.rdw.nl//parkingdata/v2/static/45821bd3-1835-43ce-bb99-adc58b056ade;;0;45821bd3-1835-43ce-bb99-adc58b056ade;51.8329358;4.9732326671277;Gorinchem;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;323;1;2;1;1;UNKNOWN
1197;P+R Gouda Goverwelle (Gouda);https://npropendata.rdw.nl//parkingdata/v2/static/dbc16752-ef47-4699-9fe0-549b2a6929e2;;0;dbc16752-ef47-4699-9fe0-549b2a6929e2;52.0147856;4.7409817;Gouda;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;102;1;2.3;1;1;Gouda
1198;P+R Zeeburg (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/caeb9b56-de8d-40ec-9818-54b1344e6bea;;0;caeb9b56-de8d-40ec-9818-54b1344e6bea;52.3717803;4.9613192522962;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;200;1;4.3;1;1;Amsterdam
1220;Garage Steynlaan (Zeist);https://npropendata.rdw.nl//parkingdata/v2/static/36c7c206-b5fb-4c75-a314-8096d5a67761;;0;36c7c206-b5fb-4c75-a314-8096d5a67761;52.0898818;5.2488118;Zeist;nl;Utrecht;Noordwest-Nederland;good;garage;1;221;1;2;1;1;Zeist
1243;Garage Pleingarage (Den Haag);https://npropendata.rdw.nl//parkingdata/v2/static/1b96b5df-841f-400b-ba2d-7cff51a41d02;;0;1b96b5df-841f-400b-ba2d-7cff51a41d02;52.07981235;4.3158523147058;Den Haag;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;255;1;1.9;1;1;Den Haag
1308;Garage Zuidpoort (Delft);https://npropendata.rdw.nl//parkingdata/v2/static/333f3516-1869-43fc-a84a-24c2356049b9;https://npropendata.rdw.nl//parkingdata/v2/dynamic/333f3516-1869-43fc-a84a-24c2356049b9;0;333f3516-1869-43fc-a84a-24c2356049b9;52.00873135;4.3640956999725;Delft;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;810;1;2.05;0;1;Delft
1309;Prinsenhofgarage;https://npropendata.rdw.nl//parkingdata/v2/static/a5035792-66f7-491c-8c99-0b6c7e49811d;https://npropendata.rdw.nl//parkingdata/v2/dynamic/a5035792-66f7-491c-8c99-0b6c7e49811d;0;a5035792-66f7-491c-8c99-0b6c7e49811d;52.0147215;4.3496756;Delft;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;639;1;2.1;1;1;Delft
1321;Piet Heingarage (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/e08d6a7e-cfcf-4cbd-a59a-8821766c016c;;0;e08d6a7e-cfcf-4cbd-a59a-8821766c016c;52.3779838;4.9128451351188;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;400;1;2.1;1;1;Amsterdam
1322;P+R VUmc (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/4a9684bf-f532-4248-9f43-1334233dc5d5;;0;4a9684bf-f532-4248-9f43-1334233dc5d5;52.3362618;4.86096965;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;450;1;1.9;1;1;Amsterdam
1329;P+R ArenA (Amsterdam);https://npropendata.rdw.nl//parkingdata/v2/static/7035fbb3-74a2-43e9-b873-e8d7ddb03fd3;;0;7035fbb3-74a2-43e9-b873-e8d7ddb03fd3;52.31435305;4.942843089054;Amsterdam;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;500;1;2.25;1;1;Amsterdam
1331;Garage Princehaven (Katwijk);https://npropendata.rdw.nl//parkingdata/v2/static/5b4d066f-a394-4888-9825-2cd524514184;;0;5b4d066f-a394-4888-9825-2cd524514184;52.2042388;4.399869;Katwijk;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;250;1;2.05;1;1;Katwijk
1337;Stationsgarage;https://npropendata.rdw.nl//parkingdata/v2/static/c644d0f6-07a1-4a80-8130-fcf46bc25b99;;0;c644d0f6-07a1-4a80-8130-fcf46bc25b99;52.0180007;4.7079646;Gouda;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;320;1;2.1;1;1;Gouda
